aa_ 1,aa_ 2,aa_ 3,aa_ 4,aa_ 5,aa_ 6,aa_ 7,aa_ 8,aa_ 9,aa_10,aa_11
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
1,-7.83971255669754,27.0405109931505,-53.5904705862692,66.7441291922559,-53.4913795620385,26.940605406679,-7.79630509220354,0.99262433569337,,
1,-7.82062650839427,26.927985683195,-53.3113267851625,66.370845562661,-53.2068960688284,26.8225914438259,-7.77475742515526,0.99218747389046,,
1,-7.79925010563665,26.8023080768333,-53.000123982319,65.9550962096509,-52.8901357408635,26.6911808450464,-7.75079479903122,0.991724844773134,,
1,-7.77530937321187,26.6619890340711,-52.6533572558195,65.492304600515,-52.5375983130702,26.5448846532955,-7.72413981620624,0.991234941730303,,
1,-7.74849811525878,26.5053855413745,-52.2671902915881,64.9774762562405,-52.145455374326,26.3820626098588,-7.69448338390005,0.990716171677742,,
1,-7.71847428893364,26.3306888814053,-51.837438163363,64.4051811036565,-51.7095337917681,26.2009118944234,-7.661481250987,0.990166850293637,,
1,-7.68485601408476,26.1359130777835,-51.359553434752,63.7695413069738,-51.2253025470963,25.9994562321024,-7.62475021379531,0.989585197016684,,
1,-7.64721719457797,25.9188840616538,-50.8286171641556,63.0642268460218,-50.6878645706783,25.7755358240631,-7.58386397239359,0.988969329797661,,
1,-7.60508272900314,25.6772301554948,-50.2393368014823,62.2824616572183,-50.091955564821,25.5267987064716,-7.53834862188024,0.988317259595919,,
1,-7.55792329208659,25.4083746556376,-49.5860534453426,61.4170437880926,-49.4319522833409,25.250694327043,-7.48767776782851,0.987626884612688,,
1,-7.50514967371921,25.1095315258826,-48.8627614827873,60.460383735105,-48.7018932821018,24.9444703567043,-7.43126726177965,0.98689598425276,,
1,-7.44610667069874,24.7777054988402,-48.0631442569772,59.4045659272379,-47.8955157703003,24.6051740337198,-7.36846956214117,0.986122212807384,,
1,-7.38006653784084,24.4096982283247,-47.1806300884241,58.2414391610813,-47.0063128613204,24.2296596775261,-7.29856773877113,0.985303092850754,,
1,-7.30622202099971,24.0021225548032,-46.2084736856305,56.9627426455868,-46.0276162173064,23.8146044182304,-7.22076915687008,0.98443600834411,,
1,-7.22367901594093,23.5514274457162,-45.1398686730635,55.5602751096721,-44.9527097544936,23.3565346732614,-7.13419889868552,0.983518197441527,,
1,-7.13144892539892,23.0539367611845,-43.968097560708,54.0261150638639,-43.7749806485168,22.8518664715124,-7.03789301137944,0.982546744993145,,
1,-7.02844082382798,22.5059056777613,-42.6867258606696,52.3529006465583,-42.4881142307154,22.2969633803355,-6.93079170790297,0.981518574742332,,
1,-6.91345358751414,21.9035993772566,-41.2898470471472,50.5341773345928,-41.0863393228052,21.688216528775,-6.81173269691909,0.980430441214974,,
